"salary","GPA","med_salary_loc"
84.42,3.54,34.51
82.33,3.35,31.66
89.63,3.89,36.19
80.41,3.91,30.15
81.47,3.77,30.52
84.03,3.88,32.73
103.8,3.48,49.1
85.72,3.43,33.89
79.27,3.23,33.89
70.77,2.71,30.03
80.67,3.41,31.67
89.99,3.95,37.69
74.47,2.65,32.41
80.02,3.05,33.34
95.39,3.39,41.89
74.6,3.19,31.14
89.48,3.74,36.15
73.21,2.61,30.64
76.38,3.33,30.03
91.03,3.28,37.32
95.98,3.51,40.08
82.27,3.34,33.64
82.13,3.91,31.57
89.11,3.63,34.89
87.42,3.77,35.69
78.1,3.1,33.1
82.35,3.8,30.83
90.87,2.88,46.01
74.54,3.02,30.56
88.57,3.64,37.31
91.49,3.88,36.61
88.51,3.52,40.09
81.5,2.92,35.37
74.2,2.96,30.6
87.12,3.82,33.06
82.35,3.02,36.19
85.4,3.49,37.92
81.09,3.13,33.14
80.08,3.55,30.19
87.36,2.92,38.46
83.76,3.4,32.75
79.32,3.04,33.67
72.46,2.82,30.68
100.06,2.64,50.44
106.24,3.01,54.2
83.77,3.74,31.98
74.6,3.36,30.09
80.98,3.12,36.47
85.9,4,31.01
87.12,3.62,36.23
84.69,3.82,31.08
81.97,2.94,33.74
94.73,3.55,41.62
74.5,2.65,32.65
76.36,2.58,35.59
78.56,2.75,35.68
75.03,2.98,32.32
100.99,3.37,46.45
82.67,3.85,30.75
81.48,3.32,34.13
81.44,2.92,36.15
96.07,3.6,42.15
84.76,3.73,32.24
82.12,2.94,35.14
77.83,3.06,32.8
84.52,3.42,37.48
89.74,3.01,42.33
79.22,3.54,30.46
79.67,2.85,35.25
88.91,3.66,36.16
72.37,2.87,30.6
86.23,2.63,42.1
81.86,3.05,36.27
92.71,3.86,40.1
72.89,2.58,33.84
79.56,2.56,35.51
83,3.78,32.13
91.39,3.39,41.99
77.74,2.81,35.63
88.39,3.56,36.77
102.92,3.93,44.26
75.93,2.56,36.08
82.74,3.37,34.17
80.22,2.94,33.34
104.02,3.8,45.03
80.12,3.4,31.05
81.89,3.4,35.18
90.5,3.64,37.29
79.6,2.9,32.87
69.73,3,30.27
77.96,2.54,35.66
82.89,2.66,38.66
92.52,3.71,38.81
109.24,3.07,56.7
123.93,3.97,62.13
116.23,3.85,56.63
98.52,3.05,47.76
76.71,3.39,32.41
81.01,2.58,34.56
95.98,3.73,41.43
72.27,2.57,34.64
73.35,3.24,30.98
68.18,2.52,30.12
95.93,3.07,45.78
72.92,2.9,31.27
73.97,2.5,35.12
71,2.51,32.7
83.29,3.89,31.03
76.33,3.05,33.24
74.13,2.72,31.05
81.31,2.74,39.17
86.22,3.84,33.64
84.9,3.72,32.85
94.99,3.17,44.6
89.91,2.76,43.31
84,3.94,30.52
90.28,2.92,39.82
86.65,3.76,33.61
82.86,3.68,30.59
85.71,3.63,34.42
80.44,2.6,40.17
102.89,3.09,50.43
82.41,3.43,31.48
101.17,3.82,42.63
74.44,2.77,31.2
94.98,2.94,47.45
77.27,3.42,30.21
93.19,3.49,42.8
74.75,3,31.18
83.19,2.63,41.35
73.27,2.7,32.18
110.61,3.18,56.45
83.36,3.13,36.5
112.31,3.38,57.44
87.04,3.92,31.53
94.12,3.95,37.65
77.34,2.94,30.44
90,3.79,35.5
92.2,3.35,39.98
84.58,3.51,36.77
75.2,3.13,31.84
103.61,3.55,50.03
75.62,2.7,35.78
105.18,3.15,52.5
80.06,3.68,30.99
98.91,3.77,43.15
76.04,2.6,35.96
118.79,3.55,61.09
92.36,3.36,40.39
101.11,3.66,46.71
