"replication","weight","speed","surface_roughness"
1,0.5,25,556.287753214647
2,0.5,25,560.369324854577
3,0.5,25,554.668925641686
1,0.5,30,531.274272378276
2,0.5,30,533.466358161555
3,0.5,30,549.254315904062
1,0.5,35,529.359266209315
2,0.5,35,516.217107413811
3,0.5,35,513.120886504999
1,0.5,40,494.658453245326
2,0.5,40,509.0760954903
3,0.5,40,512.649231983515
1,0.5,45,475.781401494911
2,0.5,45,479.777127914908
3,0.5,45,499.76045565355
1,0.5,50,470.330152714904
2,0.5,50,453.215481295438
3,0.5,50,468.498407205349
1,0.5,55,436.551957316608
2,0.5,55,428.314621291167
3,0.5,55,431.05598395302
1,0.5,60,413.281690961626
2,0.5,60,409.056395664672
3,0.5,60,407.465328365951
1,0.5,65,375.929534681092
2,0.5,65,359.94240820252
3,0.5,65,382.04331258384
1,0.5,70,343.336166439819
2,0.5,70,337.848576555533
3,0.5,70,337.60046218791
1,0.5,75,304.011225664465
2,0.5,75,305.418544794225
3,0.5,75,297.90748256803
1,0.5,80,251.920102491077
2,0.5,80,270.73896402668
3,0.5,80,267.3594077139
1,0.5,85,227.290373328226
2,0.5,85,219.271414606549
3,0.5,85,216.432740043721
1,0.5,90,170.771080454496
2,0.5,90,183.236411569094
3,0.5,90,168.424683536252
1,0.5,95,122.808359283919
2,0.5,95,140.60189963577
3,0.5,95,120.17488836817
1,0.5,100,74.5493956897394
2,0.5,100,75.56386138158
3,0.5,100,91.2989770866283
