"replication","weight","speed","cspeed","surface_roughness"
1,0.025,1,"low",608.343219604657
2,0.025,1,"low",613.731674482816
3,0.025,1,"low",623.430036740196
1,0.05,1,"low",623.740473869902
2,0.05,1,"low",587.001657271864
3,0.05,1,"low",613.233207919721
1,0.075,1,"low",598.337948224442
2,0.075,1,"low",603.693992607861
3,0.075,1,"low",594.947759199683
1,0.1,1,"low",603.135460626269
2,0.1,1,"low",601.976518582836
3,0.1,1,"low",621.518593046701
1,0.125,1,"low",595.857450383871
2,0.125,1,"low",604.129216896161
3,0.125,1,"low",608.941680239168
1,0.15,1,"low",590.533170454368
2,0.15,1,"low",590.882720878551
3,0.15,1,"low",604.5922671691
1,0.175,1,"low",605.364808694473
2,0.175,1,"low",576.047231858075
3,0.175,1,"low",582.669586687225
1,0.2,1,"low",596.513614166098
2,0.2,1,"low",589.485792951188
3,0.2,1,"low",588.824045757568
1,0.225,1,"low",579.864284282071
2,0.225,1,"low",605.68001154632
3,0.225,1,"low",589.097349283265
1,0.25,1,"low",580.232190109198
2,0.25,1,"low",595.417123506853
3,0.25,1,"low",590.359151093819
1,0.275,1,"low",582.157237709088
2,0.275,1,"low",573.742890549016
3,0.275,1,"low",587.994314474738
1,0.3,1,"low",578.904183490101
2,0.3,1,"low",571.412857043606
3,0.3,1,"low",571.807072192392
1,0.325,1,"low",574.832304664986
2,0.325,1,"low",591.574517951925
3,0.325,1,"low",573.746542629068
1,0.35,1,"low",571.048091918172
2,0.35,1,"low",567.895238617054
3,0.35,1,"low",570.643845195085
1,0.375,1,"low",580.127060644949
2,0.375,1,"low",579.259616124459
3,0.375,1,"low",561.749142331629
1,0.4,1,"low",556.669763095284
2,0.4,1,"low",558.73858705723
3,0.4,1,"low",580.911590166922
1,0.425,1,"low",563.455590134802
2,0.425,1,"low",569.897481862161
3,0.425,1,"low",558.658228007628
1,0.45,1,"low",573.500427464633
2,0.45,1,"low",566.481507137228
3,0.45,1,"low",553.385461913483
1,0.475,1,"low",560.936170404718
2,0.475,1,"low",572.990374751008
3,0.475,1,"low",556.379173858511
1,0.5,1,"low",549.087853968516
2,0.5,1,"low",556.334260315952
3,0.5,1,"low",553.50229360717
1,0.025,2,"medium",523.206223430292
2,0.025,2,"medium",507.578593530965
3,0.025,2,"medium",491.629375817318
1,0.05,2,"medium",520.597161241569
2,0.05,2,"medium",512.325875188841
3,0.05,2,"medium",517.009002224924
1,0.075,2,"medium",532.816661856894
2,0.075,2,"medium",503.191891790759
3,0.075,2,"medium",524.440749883579
1,0.1,2,"medium",514.010488398328
2,0.1,2,"medium",493.550225759705
3,0.1,2,"medium",507.045818258191
1,0.125,2,"medium",497.518298698768
2,0.125,2,"medium",498.092509050327
3,0.125,2,"medium",494.493019230427
1,0.15,2,"medium",507.8789344974
2,0.15,2,"medium",500.148868617945
3,0.15,2,"medium",486.612786320449
1,0.175,2,"medium",498.710365111598
2,0.175,2,"medium",490.668600308312
3,0.175,2,"medium",502.850572545257
1,0.2,2,"medium",498.299835957646
2,0.2,2,"medium",504.312759140219
3,0.2,2,"medium",487.46575861236
1,0.225,2,"medium",490.401157781392
2,0.225,2,"medium",503.356882385098
3,0.225,2,"medium",485.917809455685
1,0.25,2,"medium",494.694599956391
2,0.25,2,"medium",477.24869908334
3,0.25,2,"medium",493.696778252135
1,0.275,2,"medium",487.777525521049
2,0.275,2,"medium",497.254079175791
3,0.275,2,"medium",482.523482941459
1,0.3,2,"medium",485.503584433139
2,0.3,2,"medium",477.64113125263
3,0.3,2,"medium",482.506117360571
1,0.325,2,"medium",473.605180288784
2,0.325,2,"medium",478.755127857873
3,0.325,2,"medium",483.535440781629
1,0.35,2,"medium",487.644366400341
