"replication","weight","speed","surface_roughness"
1,0.025,25,615.761160178975
2,0.025,25,598.970577634191
3,0.025,25,600.62006938496
1,0.05,25,590.404875245213
2,0.05,25,609.5542640827
3,0.05,25,597.370303804553
1,0.075,25,601.586558428962
2,0.075,25,600.564316648385
3,0.075,25,606.694419186901
1,0.1,25,598.521948575214
2,0.1,25,588.536637457664
3,0.1,25,590.888480920292
1,0.125,25,611.637780161385
2,0.125,25,600.97521146474
3,0.125,25,610.858302905879
1,0.15,25,599.603057015042
2,0.15,25,603.980641367049
3,0.15,25,588.637277748943
1,0.175,25,605.876271733806
2,0.175,25,603.429758855784
3,0.175,25,592.781799175886
1,0.2,25,593.892630904242
2,0.2,25,593.901622011019
3,0.2,25,594.434383859839
1,0.225,25,594.519217279359
2,0.225,25,579.65311350143
3,0.225,25,598.51155675028
1,0.25,25,588.146691114289
2,0.25,25,577.921142623234
3,0.25,25,586.445523935155
1,0.275,25,588.379515179821
2,0.275,25,597.307905577334
3,0.275,25,578.793407753752
1,0.3,25,583.00684860897
2,0.3,25,582.5562449681
3,0.3,25,581.46681836672
1,0.325,25,575.021322796733
2,0.325,25,583.734181389218
3,0.325,25,564.279220248332
1,0.35,25,579.364809598814
2,0.35,25,556.24530181442
3,0.35,25,573.844597496258
1,0.375,25,576.72049541267
2,0.375,25,571.406100295848
3,0.375,25,573.483328080033
1,0.4,25,570.067676112961
2,0.4,25,569.165082657479
3,0.4,25,568.73083194787
1,0.425,25,552.140086989483
2,0.425,25,553.875954604781
3,0.425,25,562.591811301145
1,0.45,25,564.745472586397
2,0.45,25,568.507512875054
3,0.45,25,556.085493354535
1,0.475,25,537.920269183884
2,0.475,25,565.900995672343
3,0.475,25,547.682093134139
1,0.5,25,559.077755324275
2,0.5,25,562.342839013118
3,0.5,25,548.584576585656
1,0.025,30,601.417611670813
2,0.025,30,578.080009709984
3,0.025,30,589.058686435431
1,0.05,30,590.3045445731
2,0.05,30,592.532837727012
3,0.05,30,603.674626337462
1,0.075,30,586.192902349376
2,0.075,30,598.20428298089
3,0.075,30,595.985639697339
1,0.1,30,583.149546324232
2,0.1,30,591.564164080604
3,0.1,30,593.196611618428
1,0.125,30,598.960268923123
2,0.125,30,590.071313231742
3,0.125,30,589.092782079539
1,0.15,30,598.846916587695
2,0.15,30,588.334327544396
3,0.15,30,593.780607731
1,0.175,30,582.175295356304
2,0.175,30,573.894275903422
3,0.175,30,584.409954173966
1,0.2,30,585.318388343341
2,0.2,30,587.685646354344
3,0.2,30,579.94584084621
1,0.225,30,576.201748349998
2,0.225,30,593.367500258598
3,0.225,30,569.875029715058
1,0.25,30,569.822872051122
2,0.25,30,571.340909420068
3,0.25,30,574.807734597871
1,0.275,30,573.236703075836
2,0.275,30,562.454650022765
3,0.275,30,564.226579366028
1,0.3,30,564.391787960089
2,0.3,30,574.090543497991
3,0.3,30,575.556062271936
1,0.325,30,552.824593385474
2,0.325,30,572.172453170279
3,0.325,30,558.898695917341
1,0.35,30,563.33620058959
2,0.35,30,553.853945803277
3,0.35,30,568.870009745836
1,0.375,30,552.669070083889
2,0.375,30,560.061131659369
3,0.375,30,553.994354131726
1,0.4,30,550.887065569996
2,0.4,30,551.226808733734
3,0.4,30,553.720678401073
1,0.425,30,555.17529255058
2,0.425,30,543.194363128615
3,0.425,30,561.679163395259
1,0.45,30,553.571870592832
2,0.45,30,549.803028069882
3,0.45,30,550.325299994983
1,0.475,30,546.193535796543
2,0.475,30,542.623044503442
3,0.475,30,543.364259917211
1,0.5,30,538.288559694446
2,0.5,30,546.978967947262
3,0.5,30,543.934215761295
1,0.025,35,576.573624603836
2,0.025,35,593.891942986729
3,0.025,35,583.082171835016
1,0.05,35,584.784731154616
2,0.05,35,571.106018987648
3,0.05,35,570.986869892792
1,0.075,35,570.643995811295
2,0.075,35,585.399676905447
3,0.075,35,568.955667789477
1,0.1,35,565.677074287845
2,0.1,35,567.206505205999
3,0.1,35,570.710009631691
1,0.125,35,583.45928266267
2,0.125,35,561.240101173619
3,0.125,35,568.660526104466
1,0.15,35,543.688653329124
2,0.15,35,555.162516148477
3,0.15,35,549.616532379984
1,0.175,35,557.239765793846
2,0.175,35,554.488360254224
3,0.175,35,556.925557883608
1,0.2,35,549.774008632892
2,0.2,35,556.610918125451
3,0.2,35,566.460211175187
1,0.225,35,558.257111979014
2,0.225,35,557.897698096827
3,0.225,35,559.199101048945
1,0.25,35,561.621048520113
