"replication","weight","speed","cspeed","surface_roughness"
1,0.025,1,"low",605.752117757622
2,0.025,1,"low",600.997476537041
3,0.025,1,"low",591.503739934995
1,0.05,1,"low",613.456726978707
2,0.05,1,"low",619.194233584289
3,0.05,1,"low",610.007738425973
1,0.075,1,"low",595.281310638132
2,0.075,1,"low",624.361996433849
3,0.075,1,"low",612.898219540791
1,0.1,1,"low",607.547018534913
2,0.1,1,"low",599.640081561259
3,0.1,1,"low",588.094508702416
1,0.125,1,"low",601.539435003577
2,0.125,1,"low",603.763993891004
3,0.125,1,"low",612.51525349212
1,0.15,1,"low",611.784756612724
2,0.15,1,"low",590.969370252052
3,0.15,1,"low",607.915131062807
1,0.175,1,"low",609.82075631379
2,0.175,1,"low",589.807930608434
3,0.175,1,"low",603.577031238781
1,0.2,1,"low",582.23513051833
2,0.2,1,"low",590.870888796409
3,0.2,1,"low",590.350093054667
1,0.225,1,"low",589.140409006365
2,0.225,1,"low",591.788618205525
3,0.225,1,"low",595.166791383668
1,0.25,1,"low",585.84742985457
2,0.25,1,"low",580.593522016029
3,0.25,1,"low",580.612515002008
1,0.275,1,"low",586.894205050696
2,0.275,1,"low",589.117746980802
3,0.275,1,"low",585.28839413607
1,0.3,1,"low",587.822089347639
2,0.3,1,"low",555.031184172793
3,0.3,1,"low",582.935726004807
1,0.325,1,"low",581.180765933411
2,0.325,1,"low",573.220741853818
3,0.325,1,"low",581.595276057359
1,0.35,1,"low",573.889429550709
2,0.35,1,"low",566.005211352879
3,0.35,1,"low",568.971318321354
1,0.375,1,"low",563.314812391683
2,0.375,1,"low",580.641738745594
3,0.375,1,"low",587.685752554003
1,0.4,1,"low",578.915242374728
2,0.4,1,"low",558.544307393347
3,0.4,1,"low",567.827350474071
1,0.425,1,"low",578.35999551445
2,0.425,1,"low",555.987711216825
3,0.425,1,"low",556.169237441185
1,0.45,1,"low",547.242998788623
2,0.45,1,"low",566.851646669255
3,0.45,1,"low",569.805355526529
1,0.475,1,"low",542.512187664963
2,0.475,1,"low",563.301623235207
3,0.475,1,"low",559.166550796417
1,0.5,1,"low",542.430864403824
2,0.5,1,"low",565.226271644836
3,0.5,1,"low",560.415550577781
1,0.025,2,"medium",509.709165211902
2,0.025,2,"medium",505.471492434094
3,0.025,2,"medium",505.58445724307
1,0.05,2,"medium",506.071700642821
2,0.05,2,"medium",507.921031597115
3,0.05,2,"medium",513.826772316306
1,0.075,2,"medium",515.130790509581
2,0.075,2,"medium",501.364938058473
3,0.075,2,"medium",500.032383685643
1,0.1,2,"medium",507.498408763321
2,0.1,2,"medium",511.782155589135
3,0.1,2,"medium",506.139684800879
1,0.125,2,"medium",499.727240012245
2,0.125,2,"medium",517.868678616165
3,0.125,2,"medium",499.175436229754
1,0.15,2,"medium",498.393719047347
2,0.15,2,"medium",498.952333103394
3,0.15,2,"medium",501.824151712927
1,0.175,2,"medium",488.356479490799
2,0.175,2,"medium",493.274318198649
3,0.175,2,"medium",496.94839150276
1,0.2,2,"medium",493.056056806353
2,0.2,2,"medium",508.735279878316
3,0.2,2,"medium",502.514883690064
1,0.225,2,"medium",487.12765473382
2,0.225,2,"medium",499.279789247318
3,0.225,2,"medium",492.775743138553
1,0.25,2,"medium",496.488238829575
2,0.25,2,"medium",488.475296233245
3,0.25,2,"medium",486.896406325319
1,0.275,2,"medium",498.481623382429
2,0.275,2,"medium",487.946890318211
3,0.275,2,"medium",503.356135826565
1,0.3,2,"medium",482.025537604789
2,0.3,2,"medium",486.557209190562
3,0.3,2,"medium",462.891173548436
1,0.325,2,"medium",480.415466750289
2,0.325,2,"medium",489.15747802042
3,0.325,2,"medium",468.977392192576
1,0.35,2,"medium",471.360613587226
2,0.35,2,"medium",486.529784602568
3,0.35,2,"medium",478.950311002086
1,0.375,2,"medium",483.897178176838
2,0.375,2,"medium",473.545756670822
3,0.375,2,"medium",488.935545556087
1,0.4,2,"medium",485.987754146624
2,0.4,2,"medium",483.341220909499
3,0.4,2,"medium",464.476922314745
1,0.425,2,"medium",476.115716256583
2,0.425,2,"medium",469.366741348189
3,0.425,2,"medium",475.508463492241
1,0.45,2,"medium",452.557304121862
2,0.45,2,"medium",461.522810897358
3,0.45,2,"medium",476.09298264877
1,0.475,2,"medium",472.189715108479
2,0.475,2,"medium",464.464965313608
3,0.475,2,"medium",451.887698695945
1,0.5,2,"medium",454.52090176524
2,0.5,2,"medium",459.786635325755
3,0.5,2,"medium",452.057561568989
1,0.025,3,"high",138.69933943624
2,0.025,3,"high",142.626325069054
3,0.025,3,"high",127.169247631813
1,0.05,3,"high",122.736174674027
2,0.05,3,"high",128.42145839221
3,0.05,3,"high",135.619300564858
1,0.075,3,"high",122.103067315162
2,0.075,3,"high",142.401898527532
3,0.075,3,"high",130.83914432432
1,0.1,3,"high",131.953707382716
2,0.1,3,"high",131.566656218648
3,0.1,3,"high",130.379549289195
1,0.125,3,"high",115.073188891863
2,0.125,3,"high",113.646132322383
3,0.125,3,"high",116.342806525689
1,0.15,3,"high",118.343737075349
2,0.15,3,"high",124.754661781551
3,0.15,3,"high",125.186535744116
1,0.175,3,"high",131.178528829007
2,0.175,3,"high",121.24301500147
3,0.175,3,"high",110.822370866265
1,0.2,3,"high",119.486157721952
2,0.2,3,"high",110.974118055424
3,0.2,3,"high",121.795915797818
1,0.225,3,"high",103.43023811418
2,0.225,3,"high",113.518164775114
3,0.225,3,"high",113.327079926949
1,0.25,3,"high",111.129025394476
2,0.25,3,"high",108.42354256346
3,0.25,3,"high",113.884693354631
1,0.275,3,"high",109.223881938369
2,0.275,3,"high",119.356129131714
3,0.275,3,"high",116.421395361797
1,0.3,3,"high",97.0512332258245
2,0.3,3,"high",107.680357943198
3,0.3,3,"high",107.363252595048
1,0.325,3,"high",94.4564069664483
2,0.325,3,"high",101.669614333044
3,0.325,3,"high",104.636942803472
1,0.35,3,"high",100.343814574211
2,0.35,3,"high",92.5017840042046
3,0.35,3,"high",93.3809470347551
1,0.375,3,"high",98.2783657482603
2,0.375,3,"high",78.042548403453
3,0.375,3,"high",90.2604766314306
1,0.4,3,"high",79.5591999910045
2,0.4,3,"high",94.1427129009069
3,0.4,3,"high",89.1040884574492
1,0.425,3,"high",91.032834730418
2,0.425,3,"high",83.7220689397066
3,0.425,3,"high",75.6180859326132
1,0.45,3,"high",100.577989704101
2,0.45,3,"high",90.3482193542744
3,0.45,3,"high",90.621548726047
1,0.475,3,"high",84.1743388041703
2,0.475,3,"high",86.2063866472678
3,0.475,3,"high",73.6487146623819
1,0.5,3,"high",96.0860518111649
2,0.5,3,"high",78.8730631115186
3,0.5,3,"high",76.5171831734109
